h3_index,flood_area_km2,month,quality,tower_count
876ac666dffffff,,,,0
876adc409ffffff,,,,0
8796d6ba0ffffff,,,,0
876aeec41ffffff,,,,0
876ac0394ffffff,,,,0
876ac4058ffffff,,,,0
8796d2729ffffff,,,,0
8796d458bffffff,,,,0
876ad3b1bffffff,,,,0
876ad1506ffffff,,,,0
876ad3368ffffff,,,,0
876aeec2affffff,,,,0
876adacf0ffffff,0.11398439578862232,2025-09,valid,0
8796d3625ffffff,,,,0
876ad151dffffff,,,,0
876af1256ffffff,,,,0
876ac6db6ffffff,,,,0
876ac571effffff,,,,0
876ade9b4ffffff,,,,0
876ac47a1ffffff,,,,0
876af02d9ffffff,,,,0
876ac6603ffffff,,,,0
8796d6b36ffffff,,,,0
876ac218cffffff,,,,0
876af386bffffff,,,,0
876ad3b32ffffff,,,,0
8796d6383ffffff,,,,0
876af1a09ffffff,,,,0
8796d45a2ffffff,,,,0
876ad1cd0ffffff,,,,0
876ad3ab1ffffff,,,,0
8796d2740ffffff,,,,0
8796d00aaffffff,,,,0
876ad149cffffff,,,,0
8796d3d6effffff,,,,0
876adac86ffffff,,,,0
876ac6d4cffffff,,,,0
876ade94affffff,,,,0
876adc420ffffff,,,,0
876ac0a73ffffff,,,,0
876ac6684ffffff,,,,0
876ad0621ffffff,,,,0
876ac28d5ffffff,,,,0
876ac4822ffffff,,,,0
876aee40dffffff,,,,0
876ac6599ffffff,,,,0
876ad2398ffffff,,,,0
8796d6accffffff,,,,0
